ym,date,rate_pct,monthly_return
2014-01,2014-01-31,0.4104,0.0003413583797065023
2014-02,2014-02-28,0.3904,0.0003247526513958654
2014-03,2014-03-31,0.3342,0.0002780743162569266
2014-04,2014-04-30,0.3984,0.0003313953065937625
2014-05,2014-05-30,0.4169,0.000346754588596232
2014-06,2014-06-30,0.3807,0.0003166977810800109
2014-07,2014-07-31,0.4045,0.0003364600051618538
2014-08,2014-08-29,0.4005,0.0003331389231848725
2014-09,2014-09-30,0.4027,0.00033496553328116185
2014-10,2014-10-31,0.4227,0.00035156939698155476
2014-11,2014-11-28,0.4225,0.00035140337334960137
2014-12,2014-12-31,0.3565,0.00029659901429468505
2015-01,2015-01-30,0.4195,0.0003489129824996162
2015-02,2015-02-27,0.4442,0.0003694151700330828
2015-03,2015-03-31,0.4217,0.000350739275791323
2015-04,2015-04-30,0.4529,0.0003766354877361433
2015-05,2015-05-29,0.4506,0.0003747267238547458
2015-06,2015-06-30,0.3947,0.0003283231388753194
2015-07,2015-07-31,0.4481,0.0003726519350653046
2015-08,2015-08-28,0.4526,0.0003763865208061823
2015-09,2015-09-30,0.3518,0.0002926950195902833
2015-10,2015-10-30,0.4482,0.0003727349275257641
2015-11,2015-11-30,0.4539,0.0003774653725803212
2015-12,2015-12-31,0.3475,0.0002891231329340549
2016-01,2016-01-29,0.4517,0.0003756396159266817
2016-02,2016-02-29,0.4545,0.0003779632998517357
2016-03,2016-03-31,0.4128,0.00034335086335302023
2016-04,2016-04-29,0.4584,0.0003811997606666395
2016-05,2016-05-31,0.4542,0.0003777143365568669
2016-06,2016-06-30,0.4416,0.0003672572626760573
2016-07,2016-07-29,0.4534,0.0003770504311046974
2016-08,2016-08-31,0.2018,0.00016801132675370312
2016-09,2016-09-30,0.1624,0.0001352327046149071
2016-10,2016-10-31,0.1999,0.0001664309029347777
2016-11,2016-11-30,0.2024,0.0001685104022526307
2016-12,2016-12-30,0.1618,0.00013473344642078722
2017-01,2017-01-31,0.2078,0.00017300195847469446
2017-02,2017-02-28,0.203,0.00016900947501197194
2017-03,2017-03-31,0.174,0.0001448844908875646
2017-04,2017-04-28,0.2108,0.00017549717161768896
2017-05,2017-05-31,0.2087,0.00017375052960755255
2017-06,2017-06-30,0.194,0.00016152309597239345
2017-07,2017-07-31,0.2034,0.00016934218866326844
2017-08,2017-08-31,0.2109,0.00017558034420983581
2017-09,2017-09-29,0.1991,0.00016576545310842405
2017-10,2017-10-31,0.2096,0.00017449909457756263
2017-11,2017-11-30,0.4623,0.000384436106308339
2017-12,2017-12-29,0.4123,0.0003429357661934862
2018-01,2018-01-31,0.4668,0.00038817020817538683
2018-02,2018-02-28,0.4612,0.0003835233025315521
2018-03,2018-03-29,0.4435,0.0003688342000123246
2018-04,2018-04-30,0.4507,0.000374809714421831
2018-05,2018-05-31,0.4503,0.00037447775169918707
2018-06,2018-06-29,0.4399,0.000365846295565353
2018-07,2018-07-31,0.4503,0.00037447775169918707
2018-08,2018-08-31,0.7042,0.0005849477577832829
2018-09,2018-09-28,0.6964,0.0005784892058489088
2018-10,2018-10-31,0.7002,0.0005816357371524195
2018-11,2018-11-30,0.7002,0.0005816357371524195
2018-12,2018-12-31,0.6998,0.0005813045284566165
2019-01,2019-01-31,0.7034,0.0005842853633044598
2019-02,2019-02-28,0.705,0.000585610147438409
